,Price,Description,availability,Link No
67,"£3,098.99","15.6"" MSI GS66 Stealth 10SFS-073UK, FHD, 300Hz, i9 10980HK, 32GB DDR4, 1TB NVMe, 8GB RTX 2070 SUPER Max-Q, Win10 Home    ",Add To Basket,LN106581
68,"£3,198.98","17.3"" Gigabyte AERO 17-XB, UHD, IPS, HDR, i9 10980HK, 32GB DDR4, 1TB NVMe SSD, 8GB RTX 2070 SUPER Max-Q, Win10 Pro    ",Add To Basket,LN106376
69,"£3,298.99","15.6"" Gigabyte AERO 15-XB, UHD, AMOLED, i9 10980HK, 32GB DDR4, 2x 1TB NVMe SSD, 8GB RTX 2070 SUPER Max-Q, Win10 Pro      ",Add To Basket,LN106068
70,"£1,998.98","15.6"" Gigabyte AERO 15-X9, 144Hz FHD, i7-8750H, 32GB* DDR4, 1TB SSD, 8GB RTX 2070 Max-Q w/ AORUS E1 Gaming Headphones    ",Add To Basket,LN106309
71,"£2,098.99","15.6"" MSI GS66 Stealth 10SFS-042UK, FHD, 240Hz, i7 10750H, 16GB DDR4, 1TB NVMe, 8GB RTX 2070 Max-Q, Win10 Home         ",Add To Basket,LN106583
72,"£2,198.99","17.3"" MSI GS75 Stealth 10SF-034UK, FHD, 240Hz, i7 10750H, 16GB DDR4, 1TB NVMe, 8GB RTX 2070 Max-Q, Win10 Home          ",Add To Basket,LN106588
73,"£2,598.98","15.6"" MSI GE65 Raider 9SF-231, FHD, IPS, 240Hz, i9 9880H, 16GB DDR4, 512GB NVMe SSD+1TB HDD, 8GB RTX 2070, Win10 Home    ",Add To Basket,LN100767
74,"£3,498.98","17.3"" MSI GT76 Titan 9SF-066, UHD, IPS, 60Hz, i7 9750H, 32GB DDR4, 2x 512GB NVMe SSD+1TB HDD, 8GB RTX 2070, Win10 Pro    ",Add To Basket,LN99922
75,"£1,699.99","15.6"" ASUS ROG Strix G15 G512LW-HN055T, Black, 144Hz FHD, i7-10750H, RTX 2070, 16GB DDR4, 1TB SSD, Win10 Home       ",Add To Basket,LN106339
76,"£1,799.99","15.6"" Gigabyte AERO 15-XA, FHD, IGZO, 240Hz, i7 9750H, 16GB DDR4, 512GB NVMe SSD, 8GB GeForce RTX 2070 Max-Q, Win10 Pro  ",Add To Basket,LN99419
77,"£1,898.99","15.6"" Gigabyte AERO 15-WB, FHD, IPS, 144Hz, i7 10750H, 16GB DDR4, 512GB NVMe SSD, 8GB RTX 2070 Max-Q, Win10 Home     ",Add To Basket,LN106387
78,"£1,898.99","15.6"" MSI GE66 Raider 10SF-041UK, FHD, 240Hz, i7 10750H, 16GB DDR4, 1TB NVMe, 8GB RTX 2070, Win10 Home       ",Add To Basket,LN106580
79,"£1,898.99","17.3"" Gigabyte AERO 17-WB, FHD, IPS, 144Hz, i7 10750H, 16GB DDR4, 512GB NVMe SSD, 8GB RTX 2070 Max-Q, Win10 Home       ",Pre Order,LN106388
80,"£1,899.98","15.6"" ASUS ROG Strix SCAR15 G532LXS-AZ056T, Black, 240Hz FHD, i7-10875H, RTX 2070, 16GB DDR4, 1TB SSD, Win10 Home     ",Pre Order,LN106796
81,"£1,998.98","15.6 Razer Blade 15 Base, FHD, 144Hz, i7 10750H, 16GB DDR4, 512GB NVMe, 8GB RTX 2070 Max-Q, Thunderbolt 3, Win10 Home    ",Add To Basket,LN106949
82,"£1,998.98","15.6"" Gigabyte AERO 15-XA Silver, 4K UHD, AMOLED, i7 9750H, 32GB DDR4, 512GB NVMe, 8GB GeForce RTX 2070 Max-Q, Win10 Pro ",Add To Basket,LN101610
83,"£1,998.98","15.6"" Gigabyte AERO 15-XA, 4K UHD, AMOLED, i7 9750H, 16GB DDR4, 512GB NVMe SSD, 8GB GeForce RTX 2070 Max-Q, Win10 Pro    ",Add To Basket,LN99400
84,"£1,998.98","15.6"" Gigabyte AORUS 15G WB, FHD, 240Hz, i7 10875H, 16GB DDR4, 512GB NVMe, 8GB RTX 2070 Max-Q, Win10 Home       ",Add To Basket,LN106643
85,"£2,048.99","15.6"" Gigabyte AERO 15-XA, UHD, AMOLED, i7 9750H, 16GB DDR4, 1TB NVMe SSD, 8GB GeForce RTX 2070 Max-Q, Win10 Pro       ",Add To Basket,LN105139
86,"£2,098.99","17.3"" Gigabyte AERO 17-XA, FHD, IPS, 144Hz, i7 9750H, 16GB, 512GB NVMe, 8GB RTX 2070 Max-Q, Win10 Pro + 1yr Office 365   ",Add To Basket,LN101633
87,"£2,199.98","15.6"" MSI GS66 Stealth 10SF-478UK, FHD, 240Hz, i7 10875H, 16GB DDR4, 1TB NVMe, 8GB RTX 2070 Max-Q, Win10 Home   ",Pre Order,LN108831
88,"£2,298.98","15.6 Razer Blade 15 Base, UHD OLED, i7 10750H, 16GB DDR4, 512GB NVMe, 8GB RTX 2070 Max-Q, Thunderbolt 3, Win10 Home      ",Add To Basket,LN106950
89,"£2,298.98","15.6"" Gigabyte AERO 15-WB, UHD, AMOLED, i7 10875H, 16GB DDR4, 512GB NVMe SSD, 8GB RTX 2070 Max-Q, Win10 Pro    ",Add To Basket,LN106370
90,"£2,298.98","17.3"" Gigabyte AORUS 17X-WB, FHD, 240Hz, i7 10875H, 16GB DDR4, 1TB NVMe, 8GB RTX 2070, Win10 Home        ",Add To Basket,LN106641
91,"£2,298.98","17.3"" MSI GS75 Stealth 10SF-645UK, FHD, 240Hz, i7 10875H, 16GB DDR4, 1TB NVMe, 8GB RTX 2070 Max-Q, Win10 Home   ",Pre Order,LN108832
92,"£2,498.99","17.3"" Gigabyte AERO 17-WB, UHD, IPS, HDR, i7 10875H, 16GB DDR4, 512GB NVMe SSD, 8GB RTX 2070 Max-Q, Win10 Home     ",Add To Basket,LN106378
93,"£2,598.98","17.3"" Razer Blade Pro, FHD, 300Hz, i7-10875H, 16GB DDR4, 512GB NVMe SSD, 8GB RTX 2070 Max-Q, TB3, Win10 Home      ",Add To Basket,LN107826
94,"£2,648.99","17.3"" Gigabyte AERO HDR 17-XA, 4K UHD, i7 9750H, 16GB DDR4, 512GB NVMe SSD, 8GB RTX 2070 Max-Q, Win10 Home+1yr Office365 ",Add To Basket,LN101628
95,"£2,798.99","15.6"" Gigabyte AERO 15-XA, 4K UHD, AMOLED, i9 9980HK, 16GB DDR4, 512GB NVMe SSD, 8GB GeForce RTX 2070 Max-Q, Win10 Pro   ",Add To Basket,LN99396
96,"£2,898.98","17.3"" Gigabyte AERO HDR 17-XA, 4K, i9 9980HK, 16GB DDR4, RTX 2070 Max-Q,   ",Add To Basket,LN101627
97,£95.99,"Club 3D SenseVision USB 3.0 4K Laptop Mini Docking Station, 4x USB 3.0, GBe LAN, HDMI/DVI               ",Add To Basket,LN72699
98,£132.49,Club 3D CSV-1460 USB 3.0 DUAL DISPLAY 4K 60HZ Docking Station               ,Add To Basket,LN84490
99,£225.19,"Microsoft Office Home & Business 2019, 1-PC/Mac Install, inc Word, Excel, Powerpoint, OneNote, Outlook - Medialess       ",Add To Basket,LN92915
100,"£1,199.99","15.6"" ASUS TUF Gaming FX505DV-AL014T, FHD, IPS, 120Hz, Ryzen 7 3750H, 16GB DDR4, 512GB NVMe, 6GB RTX 2060, Win10 Home    ",Add To Basket,LN100313
101,"£1,698.98","15.6"" MSI GS66 Stealth 10SE-040UK, FHD, 240Hz, i7 10750H, 16GB DDR4, 512GB NVMe, 6GB RTX 2060, Win10 Home        ",Add To Basket,LN106577
102,"£1,798.99","17.3"" MSI GS75 Stealth 10SE-068UK, FHD, 240Hz, i7 10750H, 16GB DDR4, 512GB NVMe, 6GB RTX 2060, Win10 Home         ",Add To Basket,LN106578
103,"£1,148.99","17.3"" Acer Nitro 5 NH.Q8KEK.002, 120Hz FHD, IPS, i7 10750H, 8GB DDR4, 512GB NVMe SSD, 6GB RTX 2060, Win10 Home    ",Add To Basket,LN108040
104,"£1,199.99","15.6"" ASUS TUF Gaming FX505DV-HN242T, Stealth Black, 144Hz FHD, Ryzen 7, RTX 2060, 16GB DDR4, 512GB HDD, Win10 Home      ",Pre Order,LN106844
105,"£1,298.99","15.6"" MSI GL65 Leopard 10SER-011UK, FHD, IPS, 120Hz, i7 10750H, 8GB DDR4, 512GB NVMe, 6GB RTX 2060, Win10 Home           ",Add To Basket,LN106579
106,"£1,299.98","15.6"" 3XS Vengeance RTX, FHD, IPS, 144Hz, 6GB RTX 2060, i7 10875H, 16GB DDR4, 1TB NVMe SSD+1TB HDD, Win 10 Home          ",Pre Order,LN107083
107,Call for price,"15.6"" ASUS TUF Gaming A15 FA506IV-AL032T, FHD, IPS, 144Hz, Ryzen 7 4800H, 16GB DDR4, 1TB NVMe, 6GB RTX 2060, Win 10 Home ",,LN105240
108,"£1,349.99","17.3"" 3XS Vengeance RTX, FHD, IPS, 144Hz, 6GB RTX 2060, i7 10875H, 16GB DDR4, 1TB NVMe SSD+1TB HDD, Win 10 Home          ",Pre Order,LN107084
109,"£1,398.98","15.6"" Acer Predator Helios 300 NH.Q7XEK.002, 144Hz FHD, IPS, i7 10750H, 16GB DDR4, 1TB SSD, 6GB RTX 2060, Win10 Home     ",Pre Order,LN108041
110,"£1,399.99","15.6"" ASUS ROG Strix G15 G512LV-HN033T, Black, 144Hz FHD, i7-10750H, RTX 2060, 16GB DDR4, 512GB SSD, Win10 Home         ",Pre Order,LN106840
111,"£1,399.99","15.6"" ASUS TUF Gaming A15 FA506IV-AL038T, Fortress Gray, 144Hz FHD, Ryzen 9, 16GB DDR4, 1TB SSD, RTX 2060, Win10 Home    ",Pre Order,LN106843
112,"£1,498.99","15.6"" Gigabyte AORUS 5 KB, FHD, IPS, 144Hz, i7 10750H, 16GB DDR4, 512GB NVMe + 1TB HDD, 6GB RTX 2060, Win10 Home         ",Pre Order,LN106639
113,"£1,499.99","14"" ASUS ROG Zephyrus G14 GA401IV-HE110T, White, 120Hz FHD, Ryzen 7, RTX 2060 Max-Q, 16GB DDR4, 512GB SSD, Win10 Home   ",Pre Order,LN107628
114,"£1,598.99","17.3"" Gigabyte AORUS 7-KB, FHD, 144Hz, i7 10750H, 16GB DDR4, 512GB NVMe + 1TB HDD, 6GB RTX 2060, Win10 Home        ",Add To Basket,LN106855
115,"£1,599.98","14"" ASUS ROG Zephyrus G14 GA401IV-HA026T, QHD, IPS, 60Hz, Ryzen 7 4800HS, 16GB DDR4, 1TB NVMe, 6GB RTX 2060, Win10 Home  ",Pre Order,LN105132
116,"£1,599.98","15.6"" ASUS ROG Strix G15 G512LV-AZ059T, Glacier Blue, 240Hz FHD, i7-10750H, RTX 2060, 16GB DDR4, 1TB SSD, Win10 Home     ",Pre Order,LN106839
117,"£1,599.98","17.3"" ASUS ROG Strix G17 G712LV-H7007T, Black, 120Hz FHD, i7-10750H, RTX 2060, 16GB DDR4, 1TB SSD, Win10 Home        ",Add To Basket,LN106842
118,"£1,599.98","17.3"" ASUS ROG Strix SCAR III G731GV-EV186T, FHD 144Hz, i7 9750H, 16GB DDR4, RTX 2060, 1TB SSD, Win10 Home ",Add To Basket,LN106764
119,"£1,698.98","15.6"" Gigabyte AERO 15-KB, FHD, IPS, 144Hz, i7 10750H, 16GB DDR4, 512GB NVMe SSD, 6GB RTX 2060 Max-Q, Win10 Home     ",Add To Basket,LN106386
120,"£1,798.99","15.6"" Gigabyte AERO 15-WA, 4K UHD, AMOLED, i7 9750H, 16GB DDR4, 512GB NVMe SSD, 6GB GeForce RTX 2060, Win10 Pro          ",Add To Basket,LN99401
121,"£1,798.99","17.3"" Gigabyte AERO 17-KB, FHD, IPS, 144Hz, i7 10750H, 16GB DDR4, 512GB NVMe SSD, 6GB RTX 2060, Win10 Home     ",Add To Basket,LN106385
122,"£1,799.99","14"" ASUS ROG Zephyrus G14 GA401IV-HA116T, Eclipse Gray, 60Hz WQHD, Ryzen 9, RTX 2060, 16GB DDR4, 1TB SSD, Win10 Home     ",Pre Order,LN106837
123,"£1,799.99","14"" ASUS ROG Zephyrus G14 GA401IV-HA120T, Moonlight White, 60Hz WQHD, Ryzen 9, RTX 2060, 16GB DDR4, 1TB SSD, Win10 Home  ",Pre Order,LN106838
124,"£1,898.99","15.6 Razer Blade 15 Base, FHD, 144Hz, i7 10750H, 16GB DDR4, 512GB NVMe, 6GB RTX 2060, Thunderbolt 3, Win10 Home          ",Add To Basket,LN106948
125,"£1,898.99","15.6"" Gigabyte AORUS 15G KB, FHD, 240Hz, i7 10875H, 16GB DDR4, 512GB NVMe, 6GB RTX 2060, Win10 Home         ",Add To Basket,LN106637
126,"£1,899.98","17.3"" MSI GS75 Stealth 10SE-0646UK, FHD, 240Hz, i7 10875H, 16GB DDR4, 512GB NVMe, 6GB RTX 2060, Win10 Home   ",Pre Order,LN108830
127,"£1,998.98","15.6"" MSI GS65 Stealth 9SE-1481UK, FHD, IPS, 240Hz, i7-9750H, 16GB DDR4, 512GB NVMe, 6GB RTX 2060, USB 3.2, Win10 Home   ",Add To Basket,LN103263
128,"£1,998.98","17.3"" Gigabyte AORUS 17G-KB, FHD, 240Hz, i7 10875H, 16GB DDR4, 512GB NVMe SSD, 6GB RTX 2060, Win10 Home              ",Add To Basket,LN106638
129,"£1,999.99","15.6"" MSI P65 Creator 9SE-1211UK, UHD, IPS, 144Hz, i7 9750H, 16GB DDR4, 512GB NVMe SSD, 6GB RTX 2060, Win10 Pro      ",Add To Basket,LN101474
130,"£2,298.98","17.3"" Gigabyte AERO 17-KB, UHD, IPS, HDR, i7 10875H, 16GB DDR4, 512GB NVMe SSD, 6GB RTX 2060, Win10 Home     ",Pre Order,LN106379
131,"£2,498.99","15.6 ASUS ZenBook Pro Duo UX581GV, Dual Screen, UHD, OLED, 60Hz, i7 9750H, 16GB, 512GB NVMe, 6GB RTX 2060, Win10 Home    ",Add To Basket,LN100413
132,"£2,998.99","15.6 ASUS ZenBook Pro Duo UX581GV, Dual Screen, UHD, OLED, 60Hz, i9 9980HK, 32GB, 1TB NVMe, 6GB RTX 2060, Win10 Home   ",Pre Order,LN101917
133,"£3,199.99","15.6 ASUS ZenBook Pro Duo UX581GV, Dual Screen, UHD, OLED, 60Hz, i9 9980HK, 32GB, 1TB NVMe, 6GB RTX 2060, Win10 Pro     ",Add To Basket,LN101918
134,£95.99,"Club 3D SenseVision USB 3.0 4K Laptop Mini Docking Station, 4x USB 3.0, GBe LAN, HDMI/DVI               ",Add To Basket,LN72699
135,£132.49,Club 3D CSV-1460 USB 3.0 DUAL DISPLAY 4K 60HZ Docking Station               ,Add To Basket,LN84490
136,£225.19,"Microsoft Office Home & Business 2019, 1-PC/Mac Install, inc Word, Excel, Powerpoint, OneNote, Outlook - Medialess       ",Add To Basket,LN92915
